E,flux
6.010800,576.652920
6.029600,578.622720
6.048400,580.584480
6.067100,582.538200
6.085900,584.483880
6.104700,586.429560
6.123500,588.359160
6.142300,590.288760
6.161100,592.210320
6.179800,594.115800
6.198600,596.021280
6.217400,597.918720
6.236200,599.808120
6.255000,601.697520
6.273800,603.570840
6.292600,605.436120
6.311300,607.301400
6.330100,609.150600
6.348900,610.991760
6.367700,612.832920
6.386500,614.658000
6.405300,616.483080
6.424000,618.300120
6.442800,620.101080
6.461600,621.902040
6.480400,623.694960
6.499200,625.471800
6.518000,627.248640
6.536700,629.009400
6.555500,630.770160
6.574300,632.514840
6.593100,634.259520
6.611900,635.988120
6.630700,637.716720
6.649400,639.429240
6.668200,641.141760
6.687000,642.838200
6.705800,644.526600
6.724600,646.206960
6.743400,647.879280
6.762100,649.543560
6.780900,651.199800
6.799700,652.848000
6.818500,654.488160
6.837300,656.120280
6.856100,657.736320
6.874800,659.352360
6.893600,660.952320
6.912400,662.544240
6.931200,664.128120
6.950000,665.703960
6.968800,667.271760
6.987500,668.831520
7.006300,670.375200
7.025100,671.918880
7.043900,673.446480
7.062700,674.966040
7.081500,676.477560
7.100300,677.981040
7.119000,679.468440
7.137800,680.955840
7.156600,682.427160
7.175400,683.890440
7.194200,685.345680
7.213000,686.784840
7.231700,688.224000
7.250500,689.647080
7.269300,691.062120
7.288100,692.469120
7.306900,693.868080
7.325700,695.250960
7.344400,696.625800
7.363200,697.992600
7.382000,699.351360
7.400800,700.694040
7.419600,702.036720
7.438400,703.363320
7.457100,704.681880
7.475900,705.984360
7.494700,707.278800
7.513500,708.565200
7.532300,709.843560
7.551100,711.113880
7.569800,712.368120
7.588600,713.614320
7.607400,714.844440
7.626200,716.074560
7.645000,717.288600
7.663800,718.494600
7.682500,719.684520
7.701300,720.866400
7.720100,722.040240
7.738900,723.206040
7.757700,724.355760
7.776500,725.497440
7.795200,726.631080
7.814000,727.748640
7.832800,728.858160
7.851600,729.959640
7.870400,731.045040
7.889200,732.122400
7.908000,733.191720
7.926700,734.253000
7.945500,735.298200
7.964300,736.327320
7.983100,737.356440
8.001900,738.369480
8.020700,739.366440
8.039400,740.363400
8.058200,741.344280
8.077000,742.309080
8.095800,743.273880
8.114600,744.222600
8.133400,745.155240
8.152100,746.079840
8.170900,746.996400
8.189700,747.896880
8.208500,748.789320
8.227300,749.673720
8.246100,750.542040
8.264800,751.402320
8.283600,752.254560
8.302400,753.090720
8.321200,753.910800
8.340000,754.730880
8.358800,755.534880
8.377500,756.322800
8.396300,757.102680
8.415100,757.874520
8.433900,758.630280
8.452700,759.378000
8.471500,760.109640
8.490200,760.841280
8.509000,761.548800
8.527800,762.248280
8.546600,762.939720
8.565400,763.623120
8.584200,764.282400
8.602900,764.941680
8.621700,765.584880
8.640500,766.220040
8.659300,766.839120
8.678100,767.450160
8.696900,768.045120
8.715700,768.632040
8.734400,769.202880
8.753200,769.765680
8.772000,770.320440
8.790800,770.859120
8.809600,771.389760
8.828400,771.904320
8.847100,772.410840
8.865900,772.901280
8.884700,773.383680
8.903500,773.858040
8.922300,774.316320
8.941100,774.758520
8.959800,775.200720
8.978600,775.618800
8.997400,776.028840
9.016200,776.430840
9.035000,776.816760
9.053800,777.194640
9.072500,777.556440
9.091300,777.910200
9.110100,778.255920
9.128900,778.585560
9.147700,778.899120
9.166500,779.204640
9.185200,779.502120
9.204000,779.783520
9.222800,780.048840
9.241600,780.314160
9.260400,780.555360
9.279200,780.788520
9.297900,781.013640
9.316700,781.222680
9.335500,781.423680
9.354300,781.608600
9.373100,781.785480
9.391900,781.954320
9.410600,782.099040
9.429400,782.243760
9.448200,782.372400
9.467000,782.484960
9.485800,782.589480
9.504600,782.685960
9.523400,782.766360
9.542100,782.830680
9.560900,782.886960
9.579700,782.935200
9.598500,782.967360
9.617300,782.983440
9.636100,782.991480
9.654800,782.991480
9.673600,782.975400
9.692400,782.951280
9.711200,782.911080
9.730000,782.862840
9.748800,782.798520
9.767500,782.726160
9.786300,782.637720
9.805100,782.541240
9.823900,782.428680
9.842700,782.308080
9.861500,782.171400
9.880200,782.026680
9.899000,781.873920
9.917800,781.705080
9.936600,781.520160
9.955400,781.327200
9.974200,781.118160
9.992900,780.909120
10.012000,780.675960
10.031000,780.434760
10.049000,780.185520
10.068000,779.920200
10.087000,779.646840
10.106000,779.357400
10.124000,779.051880
10.143000,778.746360
10.162000,778.416720
10.181000,778.087080
10.200000,777.741360
10.218000,777.379560
10.237000,777.009720
10.256000,776.623800
10.275000,776.229840
10.293000,775.827840
10.312000,775.409760
10.331000,774.983640
10.350000,774.541440
10.369000,774.083160
10.387000,773.624880
10.406000,773.142480
10.425000,772.660080
10.444000,772.161600
10.463000,771.647040
10.481000,771.124440
10.500000,770.593800
10.519000,770.047080
10.538000,769.484280
10.556000,768.921480
10.575000,768.334560
10.594000,767.747640
10.613000,767.144640
10.632000,766.525560
10.650000,765.898440
10.669000,765.263280
10.688000,764.612040
10.707000,763.952760
10.726000,763.277400
10.744000,762.594000
10.763000,761.894520
10.782000,761.187000
10.801000,760.471440
10.819000,759.739800
10.838000,759.000120
10.857000,758.244360
10.876000,757.480560
10.895000,756.708720
10.913000,755.920800
10.932000,755.124840
10.951000,754.312800
10.970000,753.492720
10.988000,752.664600
11.007000,751.820400
11.026000,750.960120
11.045000,750.099840
11.064000,749.223480
11.082000,748.331040
11.101000,747.438600
11.120000,746.522040
11.139000,745.605480
11.158000,744.672840
11.176000,743.732160
11.195000,742.775400
11.214000,741.810600
11.233000,740.837760
11.251000,739.848840
11.270000,738.851880
11.289000,737.838840
11.308000,736.825800
11.327000,735.788640
11.345000,734.751480
11.364000,733.698240
11.383000,732.636960
11.402000,731.559600
11.421000,730.482240
11.439000,729.380760
11.458000,728.279280
11.477000,727.161720
11.496000,726.036120
11.514000,724.894440
11.533000,723.752760
11.552000,722.595000
11.571000,721.421160
11.590000,720.239280
11.608000,719.057400
11.627000,717.851400
11.646000,716.645400
11.665000,715.423320
11.683000,714.193200
11.702000,712.947000
11.721000,711.692760
11.740000,710.430480
11.759000,709.160160
11.777000,707.873760
11.796000,706.587360
11.815000,705.284880
11.834000,703.966320
11.853000,702.647760
11.871000,701.313120
11.890000,699.970440
11.909000,698.619720
11.928000,697.252920
11.946000,695.878080
11.965000,694.495200
11.984000,693.104280
12.003000,691.705320
12.022000,690.290280
12.040000,688.867200
12.059000,687.436080
12.078000,685.996920
12.097000,684.541680
12.116000,683.078400
12.134000,681.615120
12.153000,680.127720
12.172000,678.640320
12.191000,677.144880
12.209000,675.633360
12.228000,674.121840
12.247000,672.594240
12.266000,671.050560
12.285000,669.506880
12.303000,667.955160
12.322000,666.387360
12.341000,664.819560
12.360000,663.235680
12.378000,661.643760
12.397000,660.043800
12.416000,658.435800
12.435000,656.819760
12.454000,655.187640
12.472000,653.555520
12.491000,651.907320
12.510000,650.251080
12.529000,648.594840
12.548000,646.922520
12.566000,645.242160
12.585000,643.553760
12.604000,641.857320
12.623000,640.152840
12.641000,638.432280
12.660000,636.711720
12.679000,634.983120
12.698000,633.238440
12.717000,631.493760
12.735000,629.741040
12.754000,627.972240
12.773000,626.203440
12.792000,624.418560
12.811000,622.633680
12.829000,620.832720
12.848000,619.031760
12.867000,617.214720
12.886000,615.397680
12.904000,613.564560
12.923000,611.731440
12.942000,609.882240
12.961000,608.033040
12.980000,606.175800
12.998000,604.310520
13.017000,602.429160
13.036000,600.547800
13.055000,598.658400
13.073000,596.760960
13.092000,594.855480
13.111000,592.941960
13.130000,591.028440
13.149000,589.098840
13.167000,587.161200
13.186000,585.223560
13.205000,583.277880
13.224000,581.316120
13.243000,579.354360
13.261000,577.384560
13.280000,575.414760
13.299000,573.428880
13.318000,571.443000
13.336000,569.441040
13.355000,567.439080
13.374000,565.429080
13.393000,563.411040
13.412000,561.393000
13.430000,559.358880
13.449000,557.324760
13.468000,555.282600
13.487000,553.232400
13.506000,551.182200
13.524000,549.115920
13.543000,547.049640
13.562000,544.975320
13.581000,542.901000
13.599000,540.810600
13.618000,538.720200
13.637000,536.629800
13.656000,534.523320
13.675000,532.416840
13.693000,530.302320
13.712000,528.179760
13.731000,526.057200
13.750000,523.926600
13.768000,521.787960
13.787000,519.649320
13.806000,517.502640
13.825000,515.347920
13.844000,513.193200
13.862000,511.030440
13.881000,508.859640
13.900000,506.688840
13.919000,504.510000
13.938000,502.323120
13.956000,500.136240
13.975000,497.949360
13.994000,495.746400
14.013000,493.543440
14.031000,491.340480
14.050000,489.129480
14.069000,486.918480
14.088000,484.691400
14.107000,482.472360
14.125000,480.245280
14.144000,478.010160
14.163000,475.775040
14.182000,473.531880
14.201000,471.288720
14.219000,469.037520
14.238000,466.786320
14.257000,464.527080
14.276000,462.267840
14.294000,460.008600
14.313000,457.733280
14.332000,455.466000
14.351000,453.190680
14.370000,450.915360
14.388000,448.632000
14.407000,446.348640
14.426000,444.057240
14.445000,441.765840
14.463000,439.474440
14.482000,437.175000
14.501000,434.875560
14.520000,432.576120
14.539000,430.268640
14.557000,427.961160
